taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.990028,40.766552,0.39
2.0,-73.981537,40.758717,0.27
3.0,0.0,0.0,0.5
4.0,-73.985123,40.760475,0.97
5.0,-73.996124,40.753448,0.88
6.0,-73.990021,40.767372,0.3
7.0,0.0,0.0,0.33
8.0,-74.005981,40.741177,0.94
9.0,-74.004181,40.721165,0.25
10.0,-73.990189,40.730549,0.82
11.0,-74.005264,40.751442,0.16
12.0,-73.999474,40.734165,0.14
13.0,-73.918182,40.770157,0.24
14.0,-73.97757,40.752281,0.35
15.0,-73.971542,40.75412,0.9
16.0,-73.983704,40.727001,0.81
17.0,-73.97924,40.777164,0.16
18.0,-73.999344,40.73003,0.5
19.0,-73.924316,40.707348,0.44
20.0,-73.96093,40.718899,0.54
21.0,-73.948692,40.71122,0.69
22.0,-73.967506,40.802956,0.69
23.0,-74.013664,40.717686,0.76
24.0,0.0,0.0,0.28
25.0,-73.986305,40.762093,0.25
26.0,-73.998138,40.725105,0.23
27.0,-73.97963,40.752647,0.51
28.0,-73.954315,40.76609,0.12
29.0,-73.985947,40.717945,0.25
30.0,-74.000092,40.734753,0.84
31.0,-73.992157,40.725197,0.47
32.0,-73.985573,40.718239,0.31
33.0,-73.956017,40.772247,0.39
34.0,-73.998581,40.73407,0.65
