taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.988289,40.748146,0.66
2.0,-73.997559,40.741531,0.83
3.0,-73.976982,40.752007,0.48
4.0,-73.999084,40.717506,0.42
5.0,-73.972137,40.762589,0.97
6.0,-73.991882,40.726025,0.1
7.0,-73.993416,40.721619,0.67
8.0,-73.998192,40.740574,0.53
9.0,-73.995857,40.753609,0.43
10.0,-73.975395,40.74958,0.36
11.0,-73.986832,40.718273,0.72
12.0,-73.990952,40.75576,0.76
13.0,-74.004807,40.708633,0.67
14.0,-73.984123,40.764606,0.73
15.0,-74.005737,40.726097,0.39
16.0,-73.980728,40.753834,0.77
17.0,-73.985306,40.735756,0.18
18.0,-73.969574,40.750679,0.64
19.0,-73.950844,40.770828,0.17
20.0,-73.965286,40.763287,0.65
21.0,-73.959167,40.814739,0.49
22.0,-74.007835,40.7215,0.48
23.0,-73.984802,40.72821,0.99
24.0,-73.986565,40.725826,0.32
25.0,-73.978577,40.741112,0.42
26.0,-73.95755,40.773411,0.79
27.0,-73.963432,40.756908,0.3
28.0,-73.977562,40.752045,0.81
29.0,-73.959709,40.798824,0.22
30.0,-73.997581,40.733704,0.98
31.0,-73.784828,40.64854,0.73
32.0,-73.944374,40.714417,0.28
33.0,-73.988731,40.760227,0.63
34.0,-73.99205,40.764175,0.49
