customer_id,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,trip_distance,trip_time_in_mins,CS_distance,customer_waiting_time_in_mins
1.0,-73.998528,40.734951,-74.033676,40.624348,4.77,30.0,0.439,5.3
2.0,-73.9944,40.740688,-73.953133,40.815121,4.729,19.0,0.691,14.0
3.0,-73.9972,40.751438,-73.993713,40.741467,0.58,5.0,0.399,17.5
4.0,-73.970459,40.793919,-73.950096,40.821754,2.306,6.0,0.217,6.0
5.0,-73.955711,40.779331,-73.98024,40.745602,2.751,8.0,0.809,10.7
6.0,-74.00589,40.706348,-73.989105,40.747791,2.16,16.0,0.858,15.3
7.0,-73.969307,40.750713,-73.999687,40.745762,3.167,13.0,0.854,18.4
8.0,-73.988586,40.749981,-74.006348,40.74387,1.915,16.0,0.524,5.7
9.0,-73.993874,40.747036,-74.005074,40.741074,1.266,5.0,0.926,1.8
10.0,-73.987305,40.739174,-74.010147,40.704567,2.603,12.0,1.194,3.1
11.0,-73.983788,40.740753,-74.007713,40.730324,2.538,8.0,0.445,6.5
12.0,-73.968224,40.764786,-73.989922,40.757298,2.309,12.0,0.695,6.1
13.0,-73.993744,40.727341,-74.008286,40.716648,1.616,6.0,0.271,19.6
14.0,-73.977943,40.753025,-73.983452,40.755978,0.693,3.0,0.363,15.4
15.0,-74.007828,40.740398,-73.999672,40.728546,1.013,9.0,0.418,10.8
16.0,-73.986664,40.761505,-73.971977,40.763111,1.602,8.0,0.236,3.9
17.0,-73.986534,40.755238,-73.983459,40.741203,0.631,16.0,0.604,16.4
18.0,-73.993568,40.740833,-73.97728,40.726231,1.809,8.0,0.375,16.5
19.0,-73.966324,40.762478,-73.957771,40.768578,1.006,2.0,0.464,14.9
20.0,-73.987694,40.749252,-73.997284,40.741814,1.115,5.0,0.846,4.2
21.0,-73.999886,40.718113,-73.976448,40.749126,2.623,13.0,0.92,6.1
22.0,-73.950264,40.779903,-73.987907,40.764816,3.91,12.0,0.842,13.4
23.0,-73.98616,40.742741,-73.975349,40.733059,1.247,4.316666666666666,0.256,16.9
24.0,-73.965096,40.772125,-73.948631,40.794823,1.893,4.0,0.794,7.9
25.0,-74.005653,40.714706,-73.971794,40.747166,3.626,19.0,1.105,10.3
26.0,-73.783501,40.648613,-73.706062,40.736679,8.231,14.0,0.905,2.5
27.0,-73.97876,40.724148,-73.988724,40.726704,1.133,6.0,0.87,7.9
28.0,-73.990227,40.714176,-73.954247,40.685184,3.809,19.0,1.096,2.9
29.0,-73.991951,40.71983,-73.981384,40.741268,1.344,9.0,0.383,10.6
30.0,-73.776703,40.645233,-73.943756,40.836868,17.6,30.0,0.323,2.2
31.0,-73.963089,40.761742,-73.915848,40.761471,4.843,13.0,1.068,8.1
32.0,-73.97187,40.757107,-73.990868,40.734043,2.134,7.0,0.925,7.2
33.0,-73.97937,40.749741,-73.983528,40.755524,0.582,3.0,1.167,8.5
34.0,-73.96701,40.762478,-73.949844,40.801693,2.16,11.0,0.433,20.0
35.0,-73.996384,40.753506,-73.976624,40.762478,2.121,10.0,0.765,16.1
36.0,-73.948502,40.801563,-73.960243,40.80788,1.32,3.0,0.632,9.0
37.0,-73.987831,40.76387,-73.997345,40.756348,1.108,3.0,0.219,2.5
38.0,-73.988075,40.732075,-73.976913,40.672493,2.117,31.0,0.728,17.0
39.0,-73.991493,40.749741,-73.986809,40.701149,1.552,15.0,0.824,4.0
40.0,-73.983658,40.726906,-73.957878,40.800686,3.41,20.0,0.329,18.8
41.0,-73.983223,40.760571,-73.987984,40.745796,0.762,6.0,0.78,2.2
42.0,-73.968376,40.764828,-73.972328,40.756542,0.593,3.0,0.974,14.4
43.0,-74.005135,40.719036,-73.95359,40.678745,5.389,20.0,0.507,12.8
44.0,-73.971184,40.760921,-74.000237,40.730331,3.151,12.0,0.265,9.9
45.0,-73.991356,40.735073,-74.008705,40.732048,1.868,9.0,0.351,3.8
46.0,-74.003235,40.750542,-73.964195,40.765514,4.048,14.0,1.177,11.9
47.0,-74.00589,40.740166,-73.992538,40.763687,1.616,7.0,0.939,10.1
48.0,-73.976784,40.759693,-73.990982,40.743477,1.621,4.0,0.476,11.7
