taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.991791,40.744331,0.77
2.0,-73.997986,40.723896,0.49
3.0,-74.000954,40.73909,0.14
4.0,-73.989853,40.762314,0.5
5.0,-74.002022,40.728195,0.8
6.0,-73.972443,40.759083,0.35
7.0,-73.990501,40.755966,0.16
8.0,-74.002663,40.730663,0.44
9.0,-73.988426,40.734718,0.74
10.0,-73.975037,40.749737,0.24
11.0,-73.991104,40.750938,0.56
12.0,-74.006264,40.734165,0.59
13.0,-73.991203,40.737461,0.48
14.0,-73.995079,40.760201,0.3
15.0,-74.00032,40.74271,0.78
16.0,-73.992477,40.724819,0.94
17.0,-73.981323,40.741188,0.62
18.0,-73.992455,40.74287,0.63
19.0,-73.977264,40.779438,0.42
20.0,-73.981628,40.757961,0.18
21.0,-73.987221,40.739014,0.6
22.0,-73.995926,40.72467,0.35
23.0,-74.000854,40.742935,0.48
24.0,-73.964516,40.764393,0.17
25.0,-73.989899,40.760674,0.14
26.0,-73.979553,40.743652,0.97
27.0,-73.998695,40.729866,0.18
28.0,-73.97628,40.765533,0.95
29.0,-73.912025,40.755497,0.31
30.0,-73.989525,40.750713,0.98
31.0,-73.932457,40.744984,0.96
32.0,-73.986984,40.722359,0.16
33.0,-74.006355,40.739544,0.27
34.0,-73.987602,40.744331,0.47
