taxi_id,taxi_longitude,taxi_latitude,soc
1.0,-73.990028,40.766552,0.43
2.0,-73.981537,40.758717,0.91
3.0,0.0,0.0,0.86
4.0,-73.985123,40.760475,0.67
5.0,-73.996124,40.753448,0.18
6.0,-73.990021,40.767372,0.7
7.0,0.0,0.0,0.8
8.0,-74.005981,40.741177,0.74
9.0,-74.004181,40.721165,0.76
10.0,-73.990189,40.730549,0.44
11.0,-74.005264,40.751442,0.88
12.0,-73.999474,40.734165,0.29
13.0,-73.918182,40.770157,0.57
14.0,-73.97757,40.752281,0.29
15.0,-73.971542,40.75412,0.23
16.0,-73.983704,40.727001,0.74
17.0,-73.97924,40.777164,0.63
18.0,-73.999344,40.73003,0.3
19.0,-73.924316,40.707348,0.92
20.0,-73.96093,40.718899,0.81
21.0,-73.948692,40.71122,0.59
22.0,-73.967506,40.802956,0.27
23.0,-74.013664,40.717686,0.44
24.0,0.0,0.0,0.55
25.0,-73.986305,40.762093,0.8
26.0,-73.998138,40.725105,0.1
27.0,-73.97963,40.752647,0.81
28.0,-73.954315,40.76609,0.27
29.0,-73.985947,40.717945,0.13
30.0,-74.000092,40.734753,0.94
